CAR_SELFDG_KEY,DRV_KEY,SELFDG_IS_HIDDEN,SELFDG_TYPE,CAR_SELFDG_DT,SELFDG_ID,SELFDG_DATA,SELFDG_BATTRY_AMT,SELFDG_PROFILE_ID,SELFDG_ECU_COUNT,SELFDG_SPEED,SELFDG_RPM,SELFDG_APS,SELFDG_TPS,SELFDG_RPS,SELFDG_MAF,SELFDG_FUEL_LEVEL,SELFDG_TORQUE,SELFDG_ENGINE_LOAD,SELFDG_FUELTRIM_B1S,SELFDG_FUELTRIM_B2S,SELFDG_FUELTRIM_B1L,SELFDG_FUELTRIM_B2L,SELFDG_INTAKE_PRESS,SELFDG_ABSOL_PRESS,SELFDG_BATTRERY_V,SELFDG_EGT1,SELFDG_EGT2,SELFDG_TROUBL_DETAIL_CODE,SELFDG_PENDING_DETAIL_CODE,SELFDG_PERMANENT_DETAIL_CODE,SELFDG_COOL_CNTTEMPTU,SELFDG_IN_TEMPTU,SELFDG_OUT_TEMPTU,SELFDG_OIL_TEMPTU,SELFDG_DPF_INFO,SELFDG_DPF_TEMPTU,SELFDG_O2_B1S1_VOLT,SELFDG_O2_B1S2_VOLT,SELFDG_O2_B1S3_VOLT,SELFDG_O2_B1S4_VOLT,SELFDG_O2_B2S1_VOLT,SELFDG_O2_B2S2_VOLT,SELFDG_O2_B2S3_VOLT,SELFDG_O2_B2S4_VOLT,SELFDG_O2_B1S1_FUELTRIM,SELFDG_O2_B1S2_FUELTRIM,SELFDG_O2_B1S3_FUELTRIM,SELFDG_O2_B1S4_FUELTRIM,SELFDG_O2_B2S1_FUELTRIM,SELFDG_O2_B2S2_FUELTRIM,SELFDG_O2_B2S3_FUELTRIM,SELFDG_O2_B2S4_FUELTRIM,SELFDG_IS_ANOMALY,SELFDG_HYBRID_BATTERY,SELFDG_TIMMING_ADV,SELFDG_FUELAIR_RATIO,SELFDG_EVA_PURGE,SELFDG_VAPOR_PRESSURE,SELFDG_GLOBAL_DT,SELFDG_UPLOAD_DT,SELFDG_UPDATE_DT,SERVER_UPDATE_TIME
4918160,641133,0,OBD2,"2022-01-12 13:34:52",20220113013452,22011201,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P0481,P0152,P0158,P0138,P0300",P0300,"P0481,P0152,P0158,P0138,P0300",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,"2022-01-13 01:34:52","2022-01-16 06:39:20","2022-01-12 13:34:52","2022-01-16 06:39:20"
5223499,641133,0,OBD2,"2022-02-08 16:04:47",20220209040447,22020801,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,"2022-02-09 04:04:47","2022-02-09 08:18:55","2022-02-08 16:04:47","2022-02-09 08:18:55"
5389515,641133,0,OBD2,"2022-02-08 20:20:25",20220209082025,22020802,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,P0300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,"2022-02-09 08:20:25","2022-02-22 02:52:55","2022-02-08 20:20:25","2022-02-22 02:52:55"
5389516,641133,0,OBD2,"2022-02-08 20:24:13",20220209082413,22020802,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,P0300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,"2022-02-09 08:24:13","2022-02-22 02:52:55","2022-02-08 20:24:13","2022-02-22 02:52:55"
5604755,641133,0,OBD2,"2022-03-08 10:17:20",20220308221720,22030801,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,P0158,P0481,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,"2022-03-08 22:17:20","2022-03-13 02:30:13","2022-03-08 10:17:20","2022-03-13 02:30:13"
5604756,641133,0,OBD2,"2022-03-08 10:22:36",20220308222236,22030801,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,P0158,P0481,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,"2022-03-08 22:22:36","2022-03-13 02:30:13","2022-03-08 10:22:36","2022-03-13 02:30:13"
5625671,641133,0,OBD2,"2022-03-12 14:32:48",20220313023248,22031201,NULL,NULL,NULL,NULL,902,18.43,14.9,0,0,23.92,0,45.1,-0.08,-0.14,0,0,49,0,14.05,0,0,NULL,P0300,NULL,46,34,36,0,0,0,0.05,1.12,0,0,0.5,0.47,0,0,-1.56,99.22,0,0,-33.59,99.22,0,0,1,0,19,0,0,0,"2022-03-13 02:32:48","2022-03-15 01:14:14","2022-03-12 14:32:48","2022-03-15 01:14:14"
5625672,641133,0,OBD2,"2022-03-12 14:36:03",20220313023603,22031201,NULL,NULL,NULL,NULL,683,18.43,13.33,0,0,23.92,0,41.57,0,0,0,0,49,101,13.99,0,0,NULL,"P0152,P0300",NULL,66,36,38,0,0,0,0.08,0.35,0,0,0.49,0.43,0,0,-1.56,99.22,0,0,-33.59,99.22,0,0,1,0,21,39.22,0,0,"2022-03-13 02:36:03","2022-03-15 01:14:14","2022-03-12 14:36:03","2022-03-15 01:14:14"
5625673,641133,0,OBD2,"2022-03-12 14:37:08",20220313023708,22031201,NULL,NULL,NULL,NULL,749,18.43,14.12,0,0,23.92,0,40,0,0,0,0,50,101,14.01,0,0,NULL,"P0152,P0300",NULL,68,37,39,0,0,0,0.08,0.35,0,0,0.49,0.43,0,0,-1.56,99.22,0,0,-33.59,99.22,0,0,1,0,21,39.22,0,0,"2022-03-13 02:37:08","2022-03-15 01:14:14","2022-03-12 14:37:08","2022-03-15 01:14:14"
5625674,641133,0,OBD2,"2022-03-12 14:40:27",20220313024027,22031201,NULL,NULL,NULL,NULL,671,18.43,12.94,0,0,23.92,0,39.22,-0.02,0.01,0,0,44,101,14.11,0,0,NULL,"P0152,P0300",NULL,74,37,39,0,0,0,0.08,0.35,0,0,0.49,0.43,0,0,-1.56,99.22,0,0,-33.59,99.22,0,0,1,0,21,39.22,0,0,"2022-03-13 02:40:27","2022-03-15 01:14:14","2022-03-12 14:40:27","2022-03-15 01:14:14"
5625675,641133,0,OBD2,"2022-03-12 14:42:58",20220313024258,22031201,NULL,NULL,NULL,NULL,635,18.43,12.94,0,0,23.92,0,38.04,-0.01,0.01,0,0,45,101,14.22,0,0,NULL,"P0152,P0300",NULL,82,38,39,0,0,0,0.08,0.35,0,0,0.49,0.43,0,0,-1.56,99.22,0,0,-33.59,99.22,0,0,1,0,21,39.22,0,0,"2022-03-13 02:42:58","2022-03-15 01:14:14","2022-03-12 14:42:58","2022-03-15 01:14:14"
5662438,641133,0,OBD2,"2022-03-17 16:07:33",20220318040733,22031701,NULL,NULL,NULL,NULL,1002,18.43,16.47,0,0,20,0,49.8,0,-0.22,0,0,54,0,14.05,0,0,NULL,P0300,NULL,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2022-03-18 04:07:33","2022-03-18 04:22:00","2022-03-17 16:07:33","2022-03-18 04:22:00"
5721818,641133,0,OBD2,"2022-03-21 11:22:16",20220321232216,22032101,NULL,NULL,NULL,NULL,1066,18.43,15.69,0,0,16.86,0,34.12,0,0,0,0,38,0,0,0,0,"P0481,P0152,P0300","P0152,P0300","P0481,P0152",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2022-03-21 23:22:16","2022-03-23 05:58:32","2022-03-21 11:22:16","2022-03-23 05:58:32"
5744263,641133,0,OBD2,"2022-03-22 18:00:44",20220323060044,22032201,NULL,NULL,NULL,NULL,1073,18.43,13.73,0,0,11.76,0,30.2,0,0,0,0,36,0,14.33,0,0,"P0481,P0152,P0300","P0152,P0138,P0300","P0481,P0152",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2022-03-23 06:00:44","2022-03-25 04:58:01","2022-03-22 18:00:44","2022-03-25 04:58:01"
5744435,641133,0,OBD2,"2022-03-24 17:00:22",20220325050022,22032401,NULL,NULL,NULL,NULL,741,18.43,14.12,0,0,11.76,0,39.22,0,0,0,0,46,0,14.13,0,0,"P0481,P0152,P0300","P0138,P0300","P0481,P0152",0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2022-03-25 05:00:22","2022-03-25 05:11:21","2022-03-24 17:00:22","2022-03-25 05:11:21"
5744436,641133,0,OBD2,"2022-03-24 17:10:37",20220325051037,22032401,NULL,NULL,NULL,NULL,634,18.43,13.33,0,0,11.76,0,39.61,0.03,0.02,-0.01,-0.06,48,101,14.3,0,0,"P0481,P0152,P0300","P0138,P0300","P0481,P0152",78,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2022-03-25 05:10:37","2022-03-25 05:11:21","2022-03-24 17:10:37","2022-03-25 05:11:21"
