CAR_RECDRV_KEY,USR_KEY,DRV_KEY,RECDRV_IS_HIDDEN,RECDRV_ID,RECDRV_MODIFY_ID,RECDRV_STDT,RECDRV_ENDT,RECDRV_DRVTIME,RECDRV_DRVDIS,RECDRV_AVE_SPD,RECDRV_FUEL_USEDAMT,RECDRV_OILPAYM,RECDRV_FRATIO,RECDRV_FUEL_CUT_TIME,RECDRV_AVE_RPM,RECDRV_DRV_VALUE,RECDRV_LAT,RECDRV_LONG,RECDRV_ADDR,RECDRV_START_LAT,RECDRV_START_LONG,RECDRV_IDLING_TIME,RECDRV_SAFEIN_SCORE,RECDRV_ECO_SCORE,RECDRV_FUELRATIO_SCORE,RECDRV_UPLOAD_TIME,RECDRV_COOL_TEMP,RECDRV_OIL_TEMP,RECDRV_IDLING_FUEL_USEDAMT,RECDRV_REG_DT,RECDRV_AVR_APS,RECDRV_AVR_TPS,RECDRV_AVR_RPS,RECDRV_AVR_MAF,RECDRV_AVR_FUELLEVEL,RECDRV_AVR_TORQUE,RECDRV_AVR_FUEL_TRIM_B1S,RECDRV_AVR_FUEL_TRIM_B2S,RECDRV_AVR_FUEL_TRIM_B1L,RECDRV_AVR_FUEL_TRIM_B2L,RECDRV_AVR_ENGINELOAD,RECDRV_AVR_IN_PRESS,RECDRV_AVR_OUT_TEMPTU,RECDRV_AVR_ABS_PRESS,RECDRV_AVR_HYBRIED_BATTERY_T,RECDRV_AVR_DPF,RECDRV_AVR_DPF_TEMP,RECDRV_AVR_IN_TEMPTU,RECDRV_AVR_EGT1,RECDRV_AVR_EGT2,RECDRV_OBD_VOLT,RECDRV_FUEL_RATIO,RECDRV_AVR_SPEED_WITHOUT_0,RECDRV_AVR_CHARGE_SPEED,RECDRV_NIGHT_DIS,RECDRV_NIGHT_TIME,RECDRV_TIME_WITHOUT_0,RECDRV_SPEED_TIME,RECDRV_HIGHRPM_TIME,RECDRV_START_ADDRESS,RECDRV_START_ODOMETER,RECDRV_FINISH_ODOMETER,RECDRV_GLOBAL_TIME,RECDRV_UPDATE_DT,SERVER_UPDATE_TIME,RECDRV_LAT_ENCRYPTED,RECDRV_LONG_ENCRYPTED,RECDRV_ADDRESS_ENCRYPTED,RECDRV_START_LAT_ENCRYPTED,RECDRV_START_LONG_ENCRYPTED,RECDRV_START_ADDRESS_ENCRYPTED
12655460,2251148,1083834,0,20221125150326,null,"2022-11-25 15:03:26","2022-11-25 15:09:26",00:06:01,0,0,0.11131335,120.55236,0.0,00:00:00,742,22112501,37.5506092,126.6823886,"대한민국 인천광역시 서구 공촌동 310-3",37.550433,126.6826176,00:02:39,0,0,0,"2022-12-05 06:39:33",66.89474,0,0.049617626,"2022-11-25 15:03:26",14.604286,12.66308,0,0,95.54594,0,0,0,0,0,34.39802,33.567867,18.31579,94.19945,0,0,0,37.554016,0,0,14.076263,95.54594,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,"대한민국 인천광역시 서구 공촌동 311-8",0,0,"2022-11-25 15:09:26","2022-11-25 15:09:26","2023-10-30 15:18:33",qV+wFClRMQRZ88a7Nqv8bA==,wunRG/PPWIAqYoHSztX9Hw==,"RE7jMy/T1nhgAtOZWUAKsyUUMltZhac0LgkDnA6lz3AGWNDeY48VSW5wXUULsOOOC9nzcyDdj4+S
QhYT5J4NCA==",+4+wHytq8+Dj7JFec63FNQ==,htGoAu0374AYEA3/W/HYCA==,"RE7jMy/T1nhgAtOZWUAKsyUUMltZhac0LgkDnA6lz3AGWNDeY48VSW5wXUULsOOOzl3I5yj/fW8o
T0BitJLXig=="
13766555,2251148,1083834,0,20230107165722,null,"2023-01-07 16:57:22","2023-01-07 17:01:22",00:04:01,0,0,0.089574106,97.00876,0.0,00:00:00,653,23010701,37.5521151,126.6767448,"대한민국 인천광역시 서구 연희동 56-3",37.5521718,126.6751048,00:00:17,0,0,0,"2023-01-31 22:00:27",92.016594,0,0.0062035765,"2023-01-07 16:57:22",14.898667,13.264972,0,0,95.679596,0,0,0,0,0,41.754196,40.983402,1.900415,95.020744,0,0,0,21.07054,0,0,13.977842,95.679596,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,"대한민국 인천광역시 서구 연희동 86-3",0,0,"2023-01-07 17:01:22","2023-01-07 17:01:22","2023-10-30 15:21:54",8shqm/dWqacoLy7XGX8sAw==,+uSGg80lG9mT1NC5pWLE4A==,"RE7jMy/T1nhgAtOZWUAKsyUUMltZhac0LgkDnA6lz3AHITaefpTNMtCdeO7bMmG2jsY7UzEQEz8s
rET4FNeBWA==",FpK1/RH0IEhxpab0AMLj/Q==,uVE8Y7JNFAXGmTsw5HoZuA==,"RE7jMy/T1nhgAtOZWUAKsyUUMltZhac0LgkDnA6lz3Bj2TwqGFTPNyf1hN7x7Ul6jsY7UzEQEz8s
rET4FNeBWA=="
13848180,2251148,1083834,0,20230202172935,null,"2023-02-02 17:29:35","2023-02-02 17:39:35",00:10:01,3.6269302,21.723793,0.49342337,534.3775,7.350544,00:01:12,1087,23020201,37.5507174,126.6845775,"대한민국 인천광역시 서구 심곡로194번길 23-1",37.5437082,126.7195816,00:01:41,81.73046,89.41069,-1.1371981,"2023-02-04 12:21:38",93.83195,0,0.034162916,"2023-02-02 17:29:35",17.115305,15.260318,0,0,95.91832,0,0,0,0,0,41.422474,43.129784,-2.9400997,98.81531,0,0,0,18.818636,0,0,14.504218,95.91832,26.48276,0.79358715,0,00:00:00,00:08:13,00:00:00,00:00:00,"대한민국 인천광역시 계양구 계산2동 935-16",0,0,"2023-02-02 17:39:35","2023-02-02 17:39:35","2023-10-30 15:22:12",/kjq3Gxdb5fassox7KTeDA==,JPMDrsrucQ0fYoXaTCvYzQ==,"RE7jMy/T1nhgAtOZWUAKsyUUMltZhac0LgkDnA6lz3At+8Ty3OmBwSSlvi6kb5DbK9D7a+x6o884
9BgcdJ1j9g==",oa9p/BaPZajmzAGudc3P+A==,bMKRC8V/fSzdRSnBl+fruA==,"RE7jMy/T1nhgAtOZWUAKs6zVmyWh4c9RqKJltyjJSzdQi4oEDwsnVVaGcsgMcFlwT5FpNrFYjxJa
RcMGnqAn3g=="
13892196,2251148,1083834,0,20230204122144,null,"2023-02-04 12:21:44","2023-02-04 12:36:26",00:14:42,14.929718,60.93651,1.1448162,1239.8359,13.041149,00:00:13,1615,23020401,37.557918,126.6731367,"대한민국 인천광역시 서구 검암경서동 660-1",37.5839086,126.7910865,00:00:30,82.86649,100,25.617348,"2023-02-06 17:40:05",92.42063,0,0.010668701,"2023-02-04 12:21:44",19.114859,17.907173,0,0,95.96924,0,0,0,0,0,42.019245,45.902493,-0.5578231,99.39683,0,0,0,13.781179,0,0,14.519608,95.96924,63.529552,0.7134434,0,00:00:00,00:14:06,00:00:00,00:00:00,"대한민국 경기도 김포시 고촌읍 전호리 473-1",0,0,"2023-02-04 12:36:26","2023-02-04 12:36:26","2023-10-30 15:22:12",ZSivM9l44ag+utPVOGCONw==,hVnPvl3vMY8/+e7lnAkbrg==,"RE7jMy/T1nhgAtOZWUAKsyUUMltZhac0LgkDnA6lz3DYaLE+IuRcVI/uFFFbqTfv/dvS9pb1jDjc
Ofl0DoxB+A==",pusEtzVQw9fUbyG4Pv6K/w==,uRsTJlkqVDd2nak2TxuYUw==,"3BwcNpTQ7v9XKY6DWOTcWgHDrBBk/OSNjHf9+7eDJq6ZZN5pJ48lV4yVWm2Txz5sHgws0hAdZTDP
AbO9bubIBA=="
13934926,2251148,1083834,0,20230206174014,null,"2023-02-06 17:40:14","2023-02-06 17:59:15",00:19:02,5.20306,16.401926,0.805714,872.58826,6.457701,00:01:18,1044,23020601,37.5307918,126.723403,"대한민국 인천광역시 계양구 작전동 863-16",37.530592,126.73487,00:05:57,86.65538,82.37518,-5.691102,"2023-02-08 18:46:05",93.204025,0,0.12196907,"2023-02-06 17:40:14",16.649605,14.861128,0,0,95.994026,0,0,0,0,0,41.46389,41.34238,4.528897,98.657616,0,0,0,25.923819,0,0,14.531784,95.994026,33.50805,1.5287958,0,00:00:00,00:09:19,00:00:00,00:00:00,"대한민국 인천광역시 까치말사거리",0,0,"2023-02-06 17:59:15","2023-02-06 17:59:15","2023-10-30 15:22:29",IwwVpthvH3PBXgF1MKol5Q==,ADa6PF7EaJMNtJ/N1pUd2g==,"RE7jMy/T1nhgAtOZWUAKs6zVmyWh4c9RqKJltyjJSzfoI9MFyVcmWuOHA4rBpz3cxyiKPooXaouk
yNt832lByA==",Sx5VCsPt0/xwA8jgSnRTVg==,ZaExUcNwefIEPe/iS00Mjw==,RE7jMy/T1nhgAtOZWUAKs9VUcr5hrdJSaf59fR3moREPTUb3UlAvhrHNbjqhPuDr
14053172,2251148,1083834,0,20230212103714,null,"2023-02-12 10:37:14","2023-02-12 10:40:08",00:02:55,0.26972216,5.5485716,0.1191733,129.06468,2.2632768,00:00:00,909,23021201,37.5465096,126.6778098,"대한민국 인천광역시 서구 심곡동 278-5",37.5444835,126.6770414,00:01:14,0,0,0,"2023-02-14 16:31:33",86.09143,0,0.02981806,"2023-02-12 10:37:14",16.703611,14.624093,0,0,95.5293,0,0,0,0,0,44.999462,47.297142,0,90.72,0,0,0,14.662857,0,0,14.221099,95.5293,10.329787,1.1546391,0,00:00:00,00:01:34,00:00:00,00:00:00,"대한민국 인천광역시 서구 심곡동 산6-6",0,0,"2023-02-12 10:40:09","2023-02-12 10:40:09","2023-10-30 15:22:47",H65WrdZukWY3AYF3N/1F7g==,yYv9hdwtplmto23c3/x8Ug==,"RE7jMy/T1nhgAtOZWUAKsyUUMltZhac0LgkDnA6lz3BTDnssOQkj5OlwxklHAbKL3h/hvlR3IvRF
hehh4PcyuA==",QBzB7ci5agUgYprzi5E1nw==,0Hn1Mgbi+SYoDdGecpIaRg==,"RE7jMy/T1nhgAtOZWUAKsyUUMltZhac0LgkDnA6lz3CeG/3kzB0UIlCetfNpVscFN//wDblZ3Eb1
6mqBvbw3Ew=="
14159032,2251148,1083834,0,20230218164047,null,"2023-02-18 16:40:47","2023-02-18 16:53:09",00:12:23,1.7183332,8.323015,0.42640033,461.79156,4.029859,00:00:00,940,23021801,37.5437473,126.6790714,"대한민국 인천광역시 서구 심곡동 282",37.5440822,126.6722374,00:05:09,87.49749,72.367325,-11.789997,"2023-02-19 21:01:15",93.659485,0,0.11511145,"2023-02-18 16:40:47",16.557201,14.543065,0,0,95.94887,0,0,0,0,0,43.759003,43.30148,5.911171,97.40108,0,0,0,43.784657,0,0,14.26882,95.94887,14.482435,1.4234234,0,00:00:00,00:07:07,00:00:00,00:00:00,"대한민국 인천광역시 서구 탁옥로 25",0,0,"2023-02-18 16:53:09","2023-02-18 16:53:09","2023-10-30 15:23:06",jdv5cFfasun+js6FTGz7rA==,FQodeH4CUFmZpWs4IDk7xQ==,"RE7jMy/T1nhgAtOZWUAKsyUUMltZhac0LgkDnA6lz3BE+sfq2ZoN1ZV+RyUM92VhUnKy6VQuBqdP
yegihoj/CA==",GbDGVqIJDWdks1Q+KFquJw==,nxHo3/22CvxSQ+poJUYYPQ==,"RE7jMy/T1nhgAtOZWUAKsyUUMltZhac0LgkDnA6lz3DkDwtcSyWlOMSN9FRJ1J6pbrBA1DJv5jPX
vOEcYuYzpg=="
14497959,2251148,1083834,0,20230220163438,null,"2023-02-20 16:34:38","2023-02-20 16:48:38",00:14:00,5.4636097,23.415476,0.73546267,796.50604,7.4288063,00:01:18,1182,23022001,37.5341663,126.7226775,"대한민국 인천광역시 계양구 계양대로 118 104호",37.527085,126.7225091,00:05:17,93.46563,86.73137,-1.7280076,"2023-03-08 16:34:51",93.12381,0,0.10226681,"2023-02-20 16:34:38",17.652245,15.741303,0,0,95.96393,0,0,0,0,0,44.393894,44.63139,2.1212842,98.86445,0,0,0,33.472057,0,0,14.5069275,95.96393,37.680077,1.4299242,0,00:00:00,00:08:42,00:00:00,00:00:00,"대한민국 인천광역시 계양구 작전동 423-2",0,0,"2023-02-20 16:48:38","2023-02-20 16:48:38","2023-10-30 15:24:01",bhljnFLXouqTP6dGAcM1lA==,u2qhsSVAtUkxq3CNl+uolA==,"RE7jMy/T1nhgAtOZWUAKs6zVmyWh4c9RqKJltyjJSzdtLH+IxjczhR29+eNzacwt/da0oddf94n2
x9G/QqFjtg==",l3pw83y9zqJ8VWlHPV78Sw==,jec7IOOUGQ4HCc5xhd8LQQ==,"RE7jMy/T1nhgAtOZWUAKs6zVmyWh4c9RqKJltyjJSzfoI9MFyVcmWuOHA4rBpz3cajo589av/pB6
K8Z0cCqhPg=="
14509383,2251148,1083834,0,20230308163458,null,"2023-03-08 16:34:58","2023-03-08 17:27:14",00:52:17,21.749998,24.959515,2.9227858,3165.377,7.44153,00:03:37,1252,23030801,37.4967092,126.7559972,"대한민국 부천시 사랑마을벽산.선경.삼익아파트",37.4414226,126.7830558,00:13:22,77.10861,80.03504,-1.767941,"2023-03-09 06:33:58",93.53905,0,0.3196035,"2023-03-08 16:34:58",17.754452,16.446589,0,0,96.04954,0,0,0,0,0,45.023827,46.33089,15.829454,99.36627,0,0,0,34.406757,0,0,14.385168,96.04954,33.61872,1.2881356,0,00:00:00,00:38:49,00:00:00,00:00:00,"대한민국 경기도 시흥시 신천동 712-9",0,0,"2023-03-08 17:27:14","2023-03-08 17:27:14","2023-10-30 15:24:19",S9MviszvgAd02Jy45OgKkw==,Rx8b+lobSaUeuCDGrMfUEA==,"NRPZ8T/q0USjR3WTn0sp88BbDBdLHBoH81JRnK0JSZXYo/2Mxx9AE9kpOr3ZsjpizY9EcQOjjc2Q
Md9TJniFGG6wQNQyb+Yz17zhHGLmM6Y=",QoT6vePtcyM7Soky5zwv0g==,g2ljlhHBnQnBqd6S+Nz7Qw==,"3BwcNpTQ7v9XKY6DWOTcWl2ojVfMej0RzApCTTD3IVPAxplWP5u12pMzT5bNhrYxbrBA1DJv5jPX
vOEcYuYzpg=="
14517550,2251148,1083834,0,20230309063405,null,"2023-03-09 06:34:05","2023-03-09 07:26:26",00:52:22,13.765865,15.773074,2.2204785,2404.7783,6.199504,00:03:00,1036,23030901,37.4757277,126.7522996,"대한민국 인천광역시 부평구 구산동 47-4",37.5511184,126.6846522,00:20:16,84.253334,79.439316,-6.5292253,"2023-03-09 16:43:13",93.38542,0,0.44295856,"2023-03-09 06:34:05",16.763311,15.179695,0,0,96.04961,0,0,0,0,0,43.391823,43.436665,8.098982,99.49682,0,0,0,34.64163,0,0,14.3048315,96.04961,25.81198,1.3683138,0,00:00:00,00:32:00,00:00:00,00:00:00,"대한민국 인천광역시 서구 공촌동 328",0,0,"2023-03-09 07:26:26","2023-03-09 07:26:26","2023-10-30 15:24:19",riZIqo/0i5NZi6K26daM0g==,EiSXRYlG4gAyS+i1PZXIkw==,"RE7jMy/T1nhgAtOZWUAKs8s3WatDSj0sbwjAmCjvOb4dvWRKnlkVngwIaKkbMSEUTSDQYvWI2xiA
0YH6o0cAkA==",OO9czArlBIXql6dPEyhjOg==,2JV7OKfyEbbPxyAQ5HGHtA==,"RE7jMy/T1nhgAtOZWUAKsyUUMltZhac0LgkDnA6lz3BtQPgIcdsVKAeNCw/RIWRj43W1hVM3ZZ/w
0QRKOwbwwg=="
