CAR_SELFDG_KEY,DRV_KEY,SELFDG_IS_HIDDEN,SELFDG_TYPE,CAR_SELFDG_DT,SELFDG_ID,SELFDG_DATA,SELFDG_BATTRY_AMT,SELFDG_PROFILE_ID,SELFDG_ECU_COUNT,SELFDG_SPEED,SELFDG_RPM,SELFDG_APS,SELFDG_TPS,SELFDG_RPS,SELFDG_MAF,SELFDG_FUEL_LEVEL,SELFDG_TORQUE,SELFDG_ENGINE_LOAD,SELFDG_FUELTRIM_B1S,SELFDG_FUELTRIM_B2S,SELFDG_FUELTRIM_B1L,SELFDG_FUELTRIM_B2L,SELFDG_INTAKE_PRESS,SELFDG_ABSOL_PRESS,SELFDG_BATTRERY_V,SELFDG_EGT1,SELFDG_EGT2,SELFDG_TROUBL_DETAIL_CODE,SELFDG_PENDING_DETAIL_CODE,SELFDG_PERMANENT_DETAIL_CODE,SELFDG_COOL_CNTTEMPTU,SELFDG_IN_TEMPTU,SELFDG_OUT_TEMPTU,SELFDG_OIL_TEMPTU,SELFDG_DPF_INFO,SELFDG_DPF_TEMPTU,SELFDG_O2_B1S1_VOLT,SELFDG_O2_B1S2_VOLT,SELFDG_O2_B1S3_VOLT,SELFDG_O2_B1S4_VOLT,SELFDG_O2_B2S1_VOLT,SELFDG_O2_B2S2_VOLT,SELFDG_O2_B2S3_VOLT,SELFDG_O2_B2S4_VOLT,SELFDG_O2_B1S1_FUELTRIM,SELFDG_O2_B1S2_FUELTRIM,SELFDG_O2_B1S3_FUELTRIM,SELFDG_O2_B1S4_FUELTRIM,SELFDG_O2_B2S1_FUELTRIM,SELFDG_O2_B2S2_FUELTRIM,SELFDG_O2_B2S3_FUELTRIM,SELFDG_O2_B2S4_FUELTRIM,SELFDG_IS_ANOMALY,SELFDG_HYBRID_BATTERY,SELFDG_TIMMING_ADV,SELFDG_FUELAIR_RATIO,SELFDG_EVA_PURGE,SELFDG_VAPOR_PRESSURE,SELFDG_GLOBAL_DT,SELFDG_UPLOAD_DT,SELFDG_UPDATE_DT,SERVER_UPDATE_TIME
8517129,1067039,0,OBD2,"2022-11-13 20:26:57",20221113202657,22111301,NULL,NULL,NULL,NULL,899.25,19.22,25.1,6260,12.6,18.82,0,23.92,-0.09,-0.08,-0.07,-0.09,31,101,13.92,0,0,P0121,NULL,P0121,24,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2022-11-13 20:26:57","2022-11-13 20:42:12","2022-11-13 20:26:57","2022-11-13 20:42:12"
8517130,1067039,0,OBD2,"2022-11-13 20:31:52",20221113203152,22111301,NULL,NULL,NULL,NULL,0,19.22,32.55,6180,0,18.82,0,0,0,0,-0.07,-0.09,102,101,0,0,0,P0121,NULL,P0121,45,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2022-11-13 20:31:52","2022-11-13 20:42:12","2022-11-13 20:31:52","2022-11-13 20:42:12"
8561040,1067039,0,OBD2,"2022-11-17 18:08:46",20221117180846,22111702,NULL,NULL,NULL,NULL,584.75,19.22,22.35,5320,6.38,12.16,0,16.86,-0.01,-0.01,0,-0.01,35,101,13.1,0,0,P0121,P0121,P0121,91,47,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2022-11-17 18:08:46","2022-11-17 18:51:01","2022-11-17 18:08:46","2022-11-17 18:51:01"
8677445,1067039,0,OBD2,"2022-11-26 19:08:11",20221126190811,22112602,NULL,NULL,NULL,NULL,568.25,19.22,21.57,4400,4.97,93.33,0,12.16,-0.05,-0.05,0.08,0.05,30,101,13.05,0,0,P0121,P0121,P0121,75,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2022-11-26 19:08:11","2022-11-28 06:41:51","2022-11-26 19:08:11","2022-11-28 06:41:51"
12886201,1067039,0,OBD2,"2023-09-16 17:19:56",20230916171956,23091601,NULL,NULL,0,NULL,1036.25,24.31,13.33,6980,12.1,41.18,0,14.51,0.01,-0.02,-0.05,-0.04,34,100,13.47,0,0,"P0700,P0711","P0700,P0711",NULL,76,32,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2023-09-16 17:19:56","2023-10-14 07:45:57","2023-09-16 17:19:56","2023-10-14 07:45:57"
12886273,1067039,0,OBD2,"2023-10-14 07:46:28",20231014074628,23101401,NULL,NULL,0,NULL,0,19.22,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,"P0700,P0711","P0700,P0711",P0711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2023-10-14 07:46:28","2023-10-14 07:51:14","2023-10-14 07:46:28","2023-10-14 07:51:14"
12886274,1067039,0,OBD2,"2023-10-14 07:47:57",20231014074757,23101401,NULL,NULL,0,NULL,0,19.22,31.76,5690,0,50.98,0,0,0,0,-0.07,-0.09,101,100,0,0,0,"P0700,P0711,P0700,P0711","P0700,P0711,P0700,P0711","P0711,P0711",73,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2023-10-14 07:47:57","2023-10-14 07:51:14","2023-10-14 07:47:57","2023-10-14 07:51:14"
12892078,1067039,0,OBD2,"2023-10-14 07:51:36",20231014075136,23101401,NULL,NULL,0,NULL,0,19.22,31.76,5850,0,50.2,0,0,0,0,0,0,101,0,0,0,0,"P0700,P0711","P0700,P0711",P0711,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2023-10-14 07:51:36","2023-10-14 18:53:13","2023-10-14 07:51:36","2023-10-14 18:53:13"
12953429,1067039,0,OBD2,"2023-10-14 18:53:34",20231014185334,23101402,NULL,NULL,0,NULL,595.5,19.61,14.9,5190,6.65,45.49,0,16.86,0.02,0,0,0,31,0,11.83,0,0,"P0700,P0711","P0700,P0711",P0711,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2023-10-14 18:53:34","2023-10-18 19:53:42","2023-10-14 18:53:34","2023-10-18 19:53:42"
13098537,1067039,0,OBD2,"2023-10-18 19:54:28",20231018195428,23101801,NULL,NULL,0,NULL,0,19.22,31.76,0,0,56.86,0,0,0,0,0,0,101,0,0,0,0,"P0700,P0711","P0700,P0711",P0711,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2023-10-18 19:54:28","2023-10-28 07:48:46","2023-10-18 19:54:28","2023-10-28 07:48:46"
