_id,srcValue,userSN,realTime,srcLatitude,srcLongitude,srcSpeed,srcRPM,srcAPS,srcTPS,srcRPS,srcMAF,srcFuelLevel,srcTorque,srcEngineLoad,srcFuelTrimB1S,srcFuelTrimB2S,srcIntakePress,srcEngineCoolantTemp,srcEngineOilTemp,srcFuelTrimB1L,srcFuelTrimB2L,srcAmbientAirTemp,srcAbsolutePress,srcHybridBatteryT,srcDPF,srcDPFTemp,srcIntakeAirTemp,srcEGT1,srcEGT2,srcUploadTime,srcBattery,srcGyroValue
18,23020102,0,20230201185850,37.4443082,127.1777039,7.0,1029.5,21.568628,18.039215,7930.0,4.52,63.92157,350.0,23.921568,-0.046875,0.0,52.0,30.0,0.0,-0.0234375,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-0.897461473941803
19,23020102,0,20230201185851,37.4442972,127.1777215,8.0,1029.5,21.568628,15.686275,7930.0,4.86,63.92157,350.0,23.921568,-0.046875,0.0,52.0,30.0,0.0,-0.0234375,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,1.1057171821594238
20,23020102,0,20230201185852,37.444283,127.1777415,8.0,1182.0,20.0,15.686275,7930.0,4.86,63.92157,350.0,20.392157,-0.046875,0.0,44.0,30.0,0.0,-0.0234375,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,1.5404108762741089
21,23020102,0,20230201185853,37.4442679,127.1777605,8.0,1222.5,20.0,16.078432,7930.0,5.63,63.92157,350.0,20.392157,-0.046875,0.0,36.0,30.0,0.0,-0.0234375,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,0.9286382794380188
22,23020102,0,20230201185854,37.4442525,127.177779,8.0,1222.5,14.509804,16.078432,7910.0,5.63,63.92157,350.0,18.039215,-0.046875,0.0,36.0,30.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,0.016624556854367256
23,23020102,0,20230201185855,37.444237,127.1777976,7.0,1087.0,14.509804,16.078432,7910.0,4.69,63.92157,350.0,20.392157,-0.046875,0.0,30.0,30.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,0.5302127003669739
24,23020102,0,20230201185856,37.4442248,127.1778138,7.0,1087.0,14.509804,15.686275,7900.0,5.61,63.92157,350.0,20.392157,-0.046875,0.0,30.0,30.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-0.943924605846405
25,23020102,0,20230201185857,37.4442133,127.1778309,7.0,1169.0,14.509804,15.686275,7900.0,5.61,63.92157,350.0,23.921568,-0.046875,0.0,55.0,30.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-1.5128943920135498
26,23020102,0,20230201185858,37.4442029,127.1778491,7.0,1096.0,14.509804,15.686275,7900.0,4.8,63.92157,350.0,18.431372,-0.046875,0.0,35.0,30.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-2.922463893890381
27,23020102,0,20230201185859,37.4441925,127.1778725,7.0,1096.0,14.509804,15.686275,7820.0,4.8,63.92157,350.0,18.431372,-0.046875,0.0,35.0,30.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-2.900139331817627
28,23020102,0,20230201185900,37.4441866,127.1778935,8.0,1210.0,24.313726,15.686275,7820.0,5.83,63.92157,350.0,18.431372,-0.046875,0.0,56.0,30.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-2.9820079803466797
29,23020102,0,20230201185901,37.4441852,127.1779112,8.0,1210.0,24.313726,16.078432,7830.0,4.83,63.92157,350.0,24.313726,-0.046875,0.0,56.0,30.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-7.204098701477051
30,23020102,0,20230201185902,37.4441895,127.1779328,8.0,1094.5,24.313726,16.078432,7830.0,4.83,63.92157,350.0,18.82353,-0.046875,0.0,45.0,30.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-6.960729598999023
31,23020102,0,20230201185903,37.444198,127.1779525,8.0,1094.5,23.921568,15.686275,7830.0,4.97,63.92157,350.0,18.82353,-0.046875,0.0,45.0,30.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-4.271733283996582
32,23020102,0,20230201185904,37.4442108,127.1779739,8.0,1233.0,23.921568,15.686275,7980.0,4.97,63.92157,350.0,20.0,-0.046875,0.0,39.0,32.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-2.613311290740967
33,23020102,0,20230201185905,37.4442227,127.1779905,7.0,1013.5,14.509804,15.686275,7980.0,3.97,63.92157,350.0,20.0,-0.046875,0.0,33.0,32.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-1.092759370803833
34,23020102,0,20230201185906,37.4442351,127.1780065,6.0,1013.5,14.509804,15.294118,7980.0,3.97,65.09804,350.0,21.960785,-0.046875,0.0,33.0,32.0,0.0,-0.0234375,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,null,14.483,-0.36803847551345825
