id,srcValue,carSN,realTime,srcLatitude,srcLongitude,srcSpeed,srcRPM,srcAPS,srcTPS,srcRPS,srcMAF,srcFuelLevel,srcTorque,srcEngineLoad,srcFuelTrimB1S,srcFuelTrimB2S,srcIntakePress,srcEngineCoolantTemp,srcEngineOilTemp,srcFuelTrimB1L,srcFuelTrimB2L,srcAmbientAirTemp,srcAbsolutePress,srcHybridBatteryT,srcDPF,srcDPFTemp,srcIntakeAirTemp,srcEGT1,srcEGT2,srcBattery,srcGyroValue,srcUploadTime
17,22040201,1,20220402102141,36.36002787857922,127.4146960583771,0.0,1328.5,14.50980392156863,14.11764705882353,4320.0,4.69,0.0,0.0,25.49019607843137,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.92260119153798,
18,22040201,1,20220402102142,36.36002787857922,127.4146960583771,0.0,1334.5,14.50980392156863,14.11764705882353,4290.0,4.77,0.0,0.0,23.52941176470588,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.27701237635378,
19,22040201,1,20220402102143,36.36001857466668,127.4146753550762,0.0,1311.5,15.68627450980392,13.72549019607843,4290.0,4.0,0.0,0.0,23.52941176470588,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.559437058676952,
20,22040201,1,20220402102144,36.36001857466668,127.4146753550762,0.0,1328.5,16.86274509803922,13.72549019607843,4150.0,4.13,0.0,0.0,23.52941176470588,0.0,0.0,29.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.7131881138217114,
21,22040201,1,20220402102145,36.36001857466668,127.4146753550762,0.0,1328.5,16.86274509803922,14.11764705882353,4240.0,4.22,41.96078431372549,0.0,22.74509803921569,0.0,0.0,30.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.1503414778147031,
22,22040201,1,20220402102146,36.36001857466668,127.4146753550762,0.0,1341.0,52.15686274509804,18.43137254901961,4240.0,6.44,41.96078431372549,300.0,25.88235294117647,0.0,0.0,30.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.03845805648704568,
23,22040201,1,20220402102147,36.36001857466668,127.4146753550762,0.0,2130.5,14.50980392156863,18.43137254901961,4390.0,6.44,41.96078431372549,300.0,17.64705882352941,0.0,0.0,25.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,14.106,0.2194112413749087,
24,22040201,1,20220402102148,36.36001857466668,127.4146753550762,0.0,1345.5,14.50980392156863,15.68627450980392,4390.0,3.8,41.96078431372549,300.0,21.96078431372549,0.015625,0.0,25.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,14.106,0.06649883301536488,
25,22040201,1,20220402102149,36.36001857466668,127.4146753550762,0.0,2425.0,40.3921568627451,15.68627450980392,4210.0,10.38,41.96078431372549,300.0,21.56862745098039,0.015625,0.0,35.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,14.106,0.05433237160407219,
26,22040201,1,20220402102150,36.36001857466668,127.4146753550762,0.0,2646.5,40.3921568627451,16.86274509803922,4320.0,9.72,41.96078431372549,300.0,16.86274509803922,0.015625,0.0,29.0,48.0,0.0,-0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,14.106,3.048948637796506,
