_id,srcValue,userSN,realTime,srcLatitude,srcLongitude,srcSpeed,srcRPM,srcAPS,srcTPS,srcRPS,srcMAF,srcFuelLevel,srcTorque,srcEngineLoad,srcFuelTrimB1S,srcFuelTrimB2S,srcIntakePress,srcEngineCoolantTemp,srcEngineOilTemp,srcFuelTrimB1L,srcFuelTrimB2L,srcAmbientAirTemp,srcAbsolutePress,srcHybridBatteryT,srcDPF,srcDPFTemp,srcIntakeAirTemp,srcEGT1,srcEGT2,srcUploadTime,srcBattery
20,19080206,0,20190802161252,37.5912079,127.4877582,7.0,1334.0,14.509804,16.470589,0.0,4.27,37.64706,0.0,35.686275,-0.0234375,0.0,57.0,84.0,0.0,0.0,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.968
21,19080206,0,20190802161253,37.5912046,127.4877706,4.0,744.0,14.509804,16.078432,0.0,3.81,37.64706,0.0,35.294117,-0.0234375,0.0,58.0,84.0,0.0,0.0,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.968
22,19080206,0,20190802161254,37.591201,127.487783,5.0,752.0,14.509804,16.862745,0.0,3.96,37.64706,0.0,36.47059,-0.0234375,0.0,59.0,84.0,0.0,0.0,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.968
23,19080206,0,20190802161255,37.5911976,127.4877975,6.0,731.0,14.509804,16.470589,0.0,3.97,37.64706,0.0,43.52941,-0.0234375,0.0,67.0,84.0,0.0,0.0,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.968
24,19080206,0,20190802161256,37.591194,127.4878135,5.0,750.0,14.509804,16.862745,0.0,5.16,37.64706,0.0,46.27451,-0.0234375,0.0,72.0,84.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.968
25,19080206,0,20190802161257,37.5911877,127.4878279,3.0,761.0,14.509804,16.862745,0.0,4.96,37.64706,0.0,47.843136,0.0,0.0,72.0,85.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.968
26,19080206,0,20190802161258,37.5911811,127.4878398,1.0,767.0,14.509804,16.862745,0.0,7.42,37.64706,0.0,56.47059,0.0,0.0,61.0,85.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.968
27,19080206,0,20190802161259,37.5911811,127.4878398,0.0,831.0,14.509804,16.862745,0.0,4.76,37.64706,0.0,55.294117,0.0,0.0,53.0,85.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
28,19080206,0,20190802161300,37.5911811,127.4878398,0.0,872.0,14.509804,16.078432,0.0,4.07,37.64706,0.0,35.686275,0.0078125,0.0,37.0,86.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
29,19080206,0,20190802161301,37.5911811,127.4878398,0.0,846.0,14.509804,16.078432,0.0,4.24,37.64706,0.0,36.47059,0.0078125,0.0,37.0,86.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
30,19080206,0,20190802161302,37.5911811,127.4878398,0.0,857.0,14.509804,16.078432,0.0,4.28,38.431374,0.0,36.862743,0.0078125,0.0,37.0,86.0,0.0,-0.0078125,0.0,36.0,96.0,0.0,0.0,0.0,63.0,0.0,0.0,null,13.866
