_id,srcValue,userSN,realTime,srcLatitude,srcLongitude,srcSpeed,srcRPM,srcAPS,srcTPS,srcRPS,srcMAF,srcFuelLevel,srcTorque,srcEngineLoad,srcFuelTrimB1S,srcFuelTrimB2S,srcIntakePress,srcEngineCoolantTemp,srcEngineOilTemp,srcFuelTrimB1L,srcFuelTrimB2L,srcAmbientAirTemp,srcAbsolutePress,srcHybridBatteryT,srcDPF,srcDPFTemp,srcIntakeAirTemp,srcEGT1,srcEGT2,srcUploadTime,srcBattery,srcGyroValue
1,22120104,0,20221201125136,0.0,0.0,28.0,1100.0,14.90196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0
2,22120104,0,20221201125137,35.1682619,126.8936457,26.0,1100.0,14.90196,10.980392,0.0,0.0,0.0,0.0,23.921568,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,null,0.0,0.31419116258621216
3,22120104,0,20221201125138,35.1682381,126.893728,26.0,1100.0,14.90196,10.980392,0.0,0.0,0.0,0.0,23.921568,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,null,0.0,0.2655775547027588
4,22120104,0,20221201125139,35.1682177,126.893806,25.0,986.0,14.90196,10.980392,0.0,0.0,0.0,0.0,24.705883,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,null,0.0,0.26202064752578735
5,22120104,0,20221201125140,35.1681974,126.8938827,24.0,986.0,14.90196,10.588235,0.0,0.0,0.0,0.0,24.705883,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,null,0.0,-0.07444453239440918
6,22120104,0,20221201125141,35.1681779,126.8939555,23.0,913.0,14.90196,10.588235,0.0,0.0,0.0,0.0,25.490196,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,null,0.0,-0.6972211003303528
7,22120104,0,20221201125142,35.168156,126.8940272,22.0,913.0,14.90196,10.588235,0.0,0.0,0.0,0.0,28.235294,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,null,14.478,0.11505226790904999
8,22120104,0,20221201125143,35.1681373,126.8940941,18.0,913.0,14.90196,12.156863,0.0,0.0,0.0,0.0,28.235294,-0.046875,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,null,14.478,0.4002670347690582
9,22120104,0,20221201125144,35.1681208,126.894154,13.0,1014.0,14.90196,11.372549,0.0,0.0,0.0,0.0,30.980392,-0.046875,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,null,14.478,-1.8517884016036987
10,22120104,0,20221201125145,35.1681048,126.8942016,12.0,837.0,14.90196,11.372549,0.0,0.0,0.0,0.0,35.686275,-0.046875,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,null,14.478,-3.539761543273926
11,22120104,0,20221201125146,35.1680895,126.894238,9.0,821.0,14.90196,12.156863,0.0,0.0,0.0,0.0,41.960785,-0.046875,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,null,14.478,-2.5012497901916504
12,22120104,0,20221201125147,35.1680732,126.894263,8.0,833.0,14.90196,12.156863,0.0,0.0,0.0,0.0,41.17647,-0.046875,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,null,14.478,2.6618659496307373
13,22120104,0,20221201125148,35.1680618,126.8942813,5.0,805.0,14.90196,12.156863,0.0,0.0,0.0,0.0,36.07843,-0.046875,0.0,34.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,null,14.478,3.2228970527648926
14,22120104,0,20221201125149,35.1680574,126.8942998,3.0,778.0,14.90196,12.54902,0.0,0.0,0.0,0.0,43.52941,-0.046875,0.0,43.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,null,14.478,1.1979731321334839
15,22120104,0,20221201125150,35.1680573,126.8943088,0.0,706.0,14.90196,11.372549,0.0,0.0,0.0,0.0,39.215687,-0.046875,0.0,39.0,91.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,null,14.478,-0.01990964077413082
16,22120104,0,20221201125151,35.1680581,126.894308,0.0,686.0,14.90196,11.372549,0.0,0.0,0.0,0.0,33.72549,-0.046875,0.0,35.0,91.0,0.0,0.0,0.0,-5.0,100.0,0.0,0.0,0.0,20.0,0.0,0.0,null,14.478,0.08786380290985107
17,22120104,0,20221201125152,35.1680591,126.8943048,0.0,667.0,14.90196,10.196078,0.0,0.0,0.0,0.0,31.764706,-0.046875,0.0,31.0,91.0,0.0,0.0,0.0,-5.0,100.0,0.0,0.0,0.0,20.0,0.0,0.0,null,14.478,0.06608808040618896
